dataset,method,n,n_unique_samples,valid_n,pearson_mean,pearson_std,spearman_mean,spearman_std,mean_confidence_drop,negative_drop_fraction_mean
kepler,integrated_gradients,132,132,123,0.16590493925627894,0.3399994634085785,0.16680918515438617,0.33745555023025764,0.04022785374951182,0.2703598484848485
kepler,consensus,132,132,123,0.1597544465334857,0.2453067968051892,0.1478423829418485,0.2353276636953781,0.04022785374951182,0.2703598484848485
kepler,saliency,132,132,123,0.12665290421741762,0.2718371124111878,0.145446890944669,0.27117390405212893,0.04022785374951182,0.2703598484848485
kepler,occlusion,132,132,123,0.1254995766986018,0.22572520647923852,0.10489324345346333,0.2221940809562022,0.04022785374951182,0.2703598484848485
tess,occlusion,128,128,128,0.539016252225243,0.2579221870180316,0.554387658141597,0.2876927311928056,0.06782503177237231,0.333984375
tess,consensus,128,128,128,0.4013070609059661,0.34030376183473526,0.4081252241518981,0.37938770968334457,0.06782503177237231,0.333984375
tess,integrated_gradients,128,128,128,0.2879366194361918,0.5089994595341081,0.2959641108885304,0.5644842201983696,0.06782503177237231,0.333984375
tess,saliency,128,128,128,0.10632584062602227,0.25403649240712234,0.09991460140710318,0.2733523508604031,0.06782503177237231,0.333984375
