role,dataset,category,language,original_file,academic_file,title
supplementary,kepler,fidelidad_xai,english,kepler_faithfulness_correlation_by_method.png,english/supplementary_figures/kepler_faithfulness_correlation_by_xai_method.png,KEPLER - Faithfulness Correlation by XAI method
supplementary,kepler,fidelidad_xai,espanol,kepler_faithfulness_deletion_curves.png,espanol/material_suplementario/kepler_curvas_fidelidad_por_borrado.png,KEPLER - Curvas de fidelidad por borrado
supplementary,kepler,fidelidad_xai,english,kepler_faithfulness_deletion_curves.png,english/supplementary_figures/kepler_faithfulness_deletion_curves.png,KEPLER - Faithfulness deletion curves
supplementary,kepler,mapas_xai_individuales,espanol,kepler_falso_negativo_idx1343_xai_maps.png,espanol/material_suplementario/kepler_mapa_xai_falso_negativo_idx1343.png,KEPLER - Mapa XAI de falso negativo (idx=1343)
supplementary,kepler,mapas_xai_individuales,english,kepler_falso_negativo_idx1343_xai_maps.png,english/supplementary_figures/kepler_xai_explanation_map_false_negative_idx1343.png,KEPLER - XAI explanation map for false negative (idx=1343)
supplementary,kepler,mapas_xai_individuales,espanol,kepler_falso_positivo_idx677_xai_maps.png,espanol/material_suplementario/kepler_mapa_xai_falso_positivo_idx677.png,KEPLER - Mapa XAI de falso positivo (idx=677)
supplementary,kepler,mapas_xai_individuales,english,kepler_falso_positivo_idx677_xai_maps.png,english/supplementary_figures/kepler_xai_explanation_map_false_positive_idx677.png,KEPLER - XAI explanation map for false positive (idx=677)
supplementary,kepler,incertidumbre,espanol,kepler_maxlike_vs_mc_dropout.png,espanol/material_suplementario/kepler_comparacion_maxlike_mc_dropout.png,KEPLER - Comparacion de probabilidad MaxLike y MC Dropout
supplementary,kepler,incertidumbre,english,kepler_maxlike_vs_mc_dropout.png,english/supplementary_figures/kepler_maxlike_vs_mc_dropout_probability_comparison.png,KEPLER - MaxLike vs MC Dropout probability comparison
supplementary,kepler,mapas_xai_individuales,espanol,kepler_mayor_incertidumbre_mc_dropout_idx1053_xai_maps.png,espanol/material_suplementario/kepler_mapa_xai_mayor_incertidumbre_mc_dropout_idx1053.png,KEPLER - Mapa XAI del ejemplo con mayor incertidumbre MC Dropout (idx=1053)
supplementary,kepler,mapas_xai_individuales,english,kepler_mayor_incertidumbre_mc_dropout_idx1053_xai_maps.png,english/supplementary_figures/kepler_xai_explanation_map_highest_mc_dropout_uncertainty_idx1053.png,KEPLER - XAI explanation map for highest MC Dropout uncertainty (idx=1053)
supplementary,kepler,incertidumbre,espanol,kepler_mc_dropout_scatter.png,espanol/material_suplementario/kepler_dispersion_probabilidad_incertidumbre_mc_dropout.png,KEPLER - Probabilidad vs incertidumbre MC Dropout
supplementary,kepler,incertidumbre,english,kepler_mc_dropout_scatter.png,english/supplementary_figures/kepler_mc_dropout_probability_uncertainty_scatter.png,KEPLER - MC Dropout probability vs uncertainty scatter
supplementary,kepler,incertidumbre,espanol,kepler_mc_dropout_uncertainty.png,espanol/material_suplementario/kepler_incertidumbre_mc_dropout_ejemplos_seleccionados.png,KEPLER - Incertidumbre MC Dropout en ejemplos seleccionados
supplementary,kepler,incertidumbre,english,kepler_mc_dropout_uncertainty.png,english/supplementary_figures/kepler_mc_dropout_uncertainty_selected_examples.png,KEPLER - MC Dropout uncertainty over selected examples
supplementary,kepler,mapas_xai_individuales,espanol,kepler_negativo_correcto_alta_confianza_idx1365_xai_maps.png,espanol/material_suplementario/kepler_mapa_xai_verdadero_negativo_alta_confianza_idx1365.png,KEPLER - Mapa XAI de verdadero negativo de alta confianza (idx=1365)
supplementary,kepler,mapas_xai_individuales,english,kepler_negativo_correcto_alta_confianza_idx1365_xai_maps.png,english/supplementary_figures/kepler_xai_explanation_map_high_confidence_true_negative_idx1365.png,KEPLER - XAI explanation map for high-confidence true negative (idx=1365)
supplementary,kepler,incertidumbre,espanol,kepler_outcome_uncertainty_summary.png,espanol/material_suplementario/kepler_resumen_incertidumbre_por_resultado.png,KEPLER - Resumen de incertidumbre por resultado de prediccion
supplementary,kepler,incertidumbre,english,kepler_outcome_uncertainty_summary.png,english/supplementary_figures/kepler_uncertainty_summary_by_prediction_outcome.png,KEPLER - Uncertainty summary by prediction outcome
supplementary,kepler,mapas_xai_individuales,espanol,kepler_positivo_correcto_alta_confianza_idx1132_xai_maps.png,espanol/material_suplementario/kepler_mapa_xai_verdadero_positivo_alta_confianza_idx1132.png,KEPLER - Mapa XAI de verdadero positivo de alta confianza (idx=1132)
supplementary,kepler,mapas_xai_individuales,english,kepler_positivo_correcto_alta_confianza_idx1132_xai_maps.png,english/supplementary_figures/kepler_xai_explanation_map_high_confidence_true_positive_idx1132.png,KEPLER - XAI explanation map for high-confidence true positive (idx=1132)
supplementary,kepler,calibracion,espanol,kepler_reliability_calibration.png,espanol/material_suplementario/kepler_diagrama_confiabilidad_calibracion_probabilistica.png,KEPLER - Diagrama de confiabilidad y calibracion probabilistica
supplementary,kepler,calibracion,english,kepler_reliability_calibration.png,english/supplementary_figures/kepler_probability_calibration_reliability_diagram.png,KEPLER - Probability calibration reliability diagram
supplementary,kepler,incertidumbre,espanol,kepler_uncertainty_decomposition_by_outcome.png,espanol/material_suplementario/kepler_descomposicion_incertidumbre_por_resultado.png,KEPLER - Descomposicion de incertidumbre por resultado
supplementary,kepler,incertidumbre,english,kepler_uncertainty_decomposition_by_outcome.png,english/supplementary_figures/kepler_uncertainty_decomposition_by_prediction_outcome.png,KEPLER - Uncertainty decomposition by prediction outcome
supplementary,kepler,deteccion_errores,espanol,kepler_xai_error_detection_auc.png,espanol/material_suplementario/kepler_auc_deteccion_errores_metricas_xai.png,KEPLER - AUC de deteccion de errores usando metricas XAI
supplementary,kepler,deteccion_errores,english,kepler_xai_error_detection_auc.png,english/supplementary_figures/kepler_error_detection_auc_from_xai_metrics.png,KEPLER - Error-detection AUC from XAI metrics
supplementary,kepler,centralidad_xai,espanol,kepler_xai_method_centrality.png,espanol/material_suplementario/kepler_centralidad_importancia_por_metodo_xai.png,KEPLER - Centralidad de importancia por metodo XAI
supplementary,kepler,centralidad_xai,english,kepler_xai_method_centrality.png,english/supplementary_figures/kepler_central_importance_ratio_by_xai_method.png,KEPLER - Central importance ratio by XAI method
