dataset,view,saliency_central_importance_ratio,smoothgrad_central_importance_ratio,integrated_gradients_central_importance_ratio,gradcam_central_importance_ratio,gradcam_multiscale_central_importance_ratio,occlusion_central_importance_ratio,consensus_central_importance_ratio
kepler,global,0.342509673183069,0.35392334255399843,0.2505478457444919,0.24339147082311274,0.39239389899985094,0.24917161159645496,0.2944867635368718
kepler,local,0.5325647523719695,0.54682917014909,0.7168721406525238,0.43296565075970217,0.7176540645252069,0.4942556850482261,0.6208075142092916
tess,global,0.29745175302205557,0.29526094869293135,0.5972173378036737,0.10977015839210015,0.26032105897777774,0.5953031725077357,0.341772043147128
tess,local,0.31911418769743294,0.3271893314439052,0.6088393762832379,0.20748153323466237,0.3899621743339776,0.4074108257398011,0.4092032661677885
