dataset,outcome,n,total_focus_count_mean,total_focus_count_std,total_focus_count_var,global_focus_count_mean,local_focus_count_mean,attention_position_variance_mean,attention_position_variance_std,attention_entropy_mean,central_importance_ratio_mean,mc_std_mean,target_confidence_mean
kepler,FN,17,5.411764705882353,1.583462327046801,2.50735294117647,2.411764705882353,3.0,0.05316288041693375,0.02221755052738553,0.811343853233314,0.4825967362869124,0.025288532311713102,0.7361142093260937
kepler,FP,35,5.714285714285714,2.0803199495358817,4.327731092436973,2.6285714285714286,3.085714285714286,0.054878064749946734,0.016596612946396912,0.8345207100233617,0.4076137906714856,0.017712184394310628,0.7922234756605966
kepler,TN,1179,5.681933842239186,1.7884094836441098,3.198408481188191,2.5674300254452924,3.114503816793893,0.07523250364983466,0.020380003896971154,0.8569512447316632,0.2500012960044217,0.0016590992805414256,0.9860504027568793
kepler,TP,343,6.230320699708455,1.83277875561302,3.3590779670264097,2.486880466472303,3.7434402332361514,0.05394325688019179,0.016232231916761444,0.8259849906737076,0.41033803440151034,0.00998267861659796,0.9057646127900993
tess,FN,20,8.15,2.007223796297028,4.028947368421052,3.95,4.2,0.048340301646727826,0.01115739518666962,0.9005035027443178,0.38172428297876426,0.02379823009323445,0.6136794827005361
tess,FP,28,7.75,1.7132382161232527,2.935185185185185,3.7857142857142856,3.9642857142857144,0.046678321253424075,0.009122525162134573,0.8988816680048825,0.3517946773237604,0.012747224952493395,0.8890161471707481
tess,TN,1348,8.181008902077151,2.062827905210011,4.2552589665131215,3.706231454005935,4.474777448071217,0.06385306754238192,0.012165772007818787,0.9202059116658861,0.2556731193147129,0.0028881644985050284,0.9704572142070418
tess,TP,259,8.552123552123552,1.8384843058387084,3.3800245428152373,3.864864864864865,4.687258687258687,0.049810400867745123,0.009348187291098447,0.9021383610021881,0.3518405241438853,0.003137722027946073,0.9767472286021848
