dataset,n,maxlike_confidence_mean,maxlike_entropy_mean,mc_dropout_std_mean,predictive_entropy_mean,aleatoric_uncertainty_mean,epistemic_uncertainty_mean
kepler,1574,0.9615453944803042,0.09537260818909536,0.004085113291201674,0.09628113177967909,0.09595384812425796,0.00032728425074275225
tess,1655,0.9657522049915395,0.07548957366479102,0.003351919051095008,0.07614999013495034,0.07587697353545375,0.00027301659949658324
