dataset,case,index,raw_label,y_true,target_label,method,base_probability,base_target_confidence,n_perturbations,mask_fraction,global_points_masked,local_points_masked,faithfulness_correlation_pearson,faithfulness_correlation_spearman,mean_attribution_sum,std_attribution_sum,mean_confidence_drop,std_confidence_drop,min_confidence_drop,max_confidence_drop,valid_correlation
kepler,positivo_correcto_alta_confianza,1132,PC,1,1,saliency,0.9969246983528137,0.9969246983528137,40,0.1,200,20,0.19349102448079253,0.11444652908067543,6.200663757324219,1.3339975910598467,0.0057851774618029594,0.0059000956825912,7.069110870361328e-05,0.024843037128448486,True
kepler,positivo_correcto_alta_confianza,1132,PC,1,1,integrated_gradients,0.9969246983528137,0.9969246983528137,40,0.1,200,20,0.6047904601265978,0.5050656660412759,4.161543303728104,0.7298531455960401,0.0057851774618029594,0.0059000956825912,7.069110870361328e-05,0.024843037128448486,True
kepler,positivo_correcto_alta_confianza,1132,PC,1,1,gradcam_multiscale,0.9969246983528137,0.9969246983528137,40,0.1,200,20,0.03097882586273841,-0.03564727954971858,11.951065480709076,1.5930543432730515,0.0057851774618029594,0.0059000956825912,7.069110870361328e-05,0.024843037128448486,True
kepler,positivo_correcto_alta_confianza,1132,PC,1,1,occlusion,0.9969246983528137,0.9969246983528137,40,0.1,200,20,0.014122428675763068,0.16791744840525333,37.65151000022888,2.6307899776901835,0.0057851774618029594,0.0059000956825912,7.069110870361328e-05,0.024843037128448486,True
kepler,positivo_correcto_alta_confianza,1132,PC,1,1,consensus,0.9969246983528137,0.9969246983528137,40,0.1,200,20,0.10961920672033922,0.08592870544090057,19.83412971496582,1.4598451770238576,0.0057851774618029594,0.0059000956825912,7.069110870361328e-05,0.024843037128448486,True
kepler,negativo_correcto_alta_confianza,1365,no-PC,0,0,saliency,2.1046115298960658e-19,1.0,40,0.1,200,20,,,15.791858696937561,1.243007670945399,0.0,0.0,0.0,0.0,False
kepler,negativo_correcto_alta_confianza,1365,no-PC,0,0,integrated_gradients,2.1046115298960658e-19,1.0,40,0.1,200,20,,,2.8103345185518265,0.7989616560617275,0.0,0.0,0.0,0.0,False
kepler,negativo_correcto_alta_confianza,1365,no-PC,0,0,gradcam_multiscale,2.1046115298960658e-19,1.0,40,0.1,200,20,,,14.324526953697205,1.659265943368421,0.0,0.0,0.0,0.0,False
kepler,negativo_correcto_alta_confianza,1365,no-PC,0,0,occlusion,2.1046115298960658e-19,1.0,40,0.1,200,20,,,0.0,0.0,0.0,0.0,0.0,0.0,False
kepler,negativo_correcto_alta_confianza,1365,no-PC,0,0,consensus,2.1046115298960658e-19,1.0,40,0.1,200,20,,,15.590209221839904,1.3475874338602423,0.0,0.0,0.0,0.0,False
kepler,cerca_del_umbral,275,PC,1,0,saliency,0.4931982159614563,0.5068017840385437,40,0.1,200,20,-0.25759597229308845,-0.22926829268292684,5.877888733148575,1.2370967023900101,-0.31918564438819885,0.12294168770313263,-0.4626948833465576,-0.048378050327301025,True
kepler,cerca_del_umbral,275,PC,1,0,integrated_gradients,0.4931982159614563,0.5068017840385437,40,0.1,200,20,-0.4642662674792317,-0.45647279549718583,9.197205519676208,1.2825583500025355,-0.31918564438819885,0.12294168770313263,-0.4626948833465576,-0.048378050327301025,True
kepler,cerca_del_umbral,275,PC,1,0,gradcam_multiscale,0.4931982159614563,0.5068017840385437,40,0.1,200,20,-0.455446191199207,-0.36998123827392126,10.065444815158845,1.4501251729864808,-0.31918564438819885,0.12294168770313263,-0.4626948833465576,-0.048378050327301025,True
kepler,cerca_del_umbral,275,PC,1,0,occlusion,0.4931982159614563,0.5068017840385437,40,0.1,200,20,0.1931115190762208,0.15140712945590995,28.81140031814575,4.2591689136569775,-0.31918564438819885,0.12294168770313263,-0.4626948833465576,-0.048378050327301025,True
kepler,cerca_del_umbral,275,PC,1,0,consensus,0.4931982159614563,0.5068017840385437,40,0.1,200,20,-0.10927708742941786,-0.10731707317073173,22.52772936820984,2.15958052445438,-0.31918564438819885,0.12294168770313263,-0.4626948833465576,-0.048378050327301025,True
kepler,falso_positivo,677,no-PC,0,1,saliency,0.9931057095527649,0.9931057095527649,40,0.1,200,20,0.2958592010440023,0.5076923076923078,6.288488447666168,1.0959367106174547,0.058808982372283936,0.07649364322423935,-0.000891268253326416,0.38037264347076416,True
kepler,falso_positivo,677,no-PC,0,1,integrated_gradients,0.9931057095527649,0.9931057095527649,40,0.1,200,20,0.36449211136176,0.5581613508442778,4.217831695079804,0.7394799106657304,0.058808982372283936,0.07649364322423935,-0.000891268253326416,0.38037264347076416,True
kepler,falso_positivo,677,no-PC,0,1,gradcam_multiscale,0.9931057095527649,0.9931057095527649,40,0.1,200,20,0.2781525368112535,0.20206378986866794,11.412585592269897,1.252595499203354,0.058808982372283936,0.07649364322423935,-0.000891268253326416,0.38037264347076416,True
kepler,falso_positivo,677,no-PC,0,1,occlusion,0.9931057095527649,0.9931057095527649,40,0.1,200,20,0.22139475681147394,0.22720450281425897,60.07852849960327,3.7912402965367384,0.058808982372283936,0.07649364322423935,-0.000891268253326416,0.38037264347076416,True
kepler,falso_positivo,677,no-PC,0,1,consensus,0.9931057095527649,0.9931057095527649,40,0.1,200,20,0.3000846807338592,0.34652908067542215,27.789165115356447,1.7577153928644826,0.058808982372283936,0.07649364322423935,-0.000891268253326416,0.38037264347076416,True
kepler,falso_negativo,1343,PC,1,0,saliency,0.0015448675258085132,0.9984551324741915,40,0.1,200,20,0.03189084233186626,-0.09549718574108819,5.6347708106040955,0.9344428429800766,0.000878910708706826,0.002064579399302602,-0.0013280510902404785,0.009086906909942627,True
kepler,falso_negativo,1343,PC,1,0,integrated_gradients,0.0015448675258085132,0.9984551324741915,40,0.1,200,20,-0.017276961071928047,-0.02382739212007505,5.104058879613876,0.8593293632535387,0.000878910708706826,0.002064579399302602,-0.0013280510902404785,0.009086906909942627,True
kepler,falso_negativo,1343,PC,1,0,gradcam_multiscale,0.0015448675258085132,0.9984551324741915,40,0.1,200,20,0.1256348313745138,0.036022514071294566,14.922180485725402,1.7702148903210422,0.000878910708706826,0.002064579399302602,-0.0013280510902404785,0.009086906909942627,True
kepler,falso_negativo,1343,PC,1,0,occlusion,0.0015448675258085132,0.9984551324741915,40,0.1,200,20,0.325588115068224,0.003939962476547843,25.244842433929442,2.8233033442389233,0.000878910708706826,0.002064579399302602,-0.0013280510902404785,0.009086906909942627,True
kepler,falso_negativo,1343,PC,1,0,consensus,0.0015448675258085132,0.9984551324741915,40,0.1,200,20,0.21820407865460636,-0.024953095684803007,14.689674186706544,1.4743980205742782,0.000878910708706826,0.002064579399302602,-0.0013280510902404785,0.009086906909942627,True
kepler,mayor_incertidumbre_mc_dropout,1053,PC,1,1,saliency,0.6035246849060059,0.6035246849060059,40,0.1,200,20,0.45347471827854186,0.551969981238274,4.771807062625885,0.9195593310407498,0.43353644013404846,0.17980273067951202,-0.07257097959518433,0.5809532403945923,True
kepler,mayor_incertidumbre_mc_dropout,1053,PC,1,1,integrated_gradients,0.6035246849060059,0.6035246849060059,40,0.1,200,20,0.5697769917731218,0.6480300187617262,6.132977473735809,0.8169680029835614,0.43353644013404846,0.17980273067951202,-0.07257097959518433,0.5809532403945923,True
kepler,mayor_incertidumbre_mc_dropout,1053,PC,1,1,gradcam_multiscale,0.6035246849060059,0.6035246849060059,40,0.1,200,20,0.26891817567243576,0.45009380863039405,12.246219778060913,1.713630600250136,0.43353644013404846,0.17980273067951202,-0.07257097959518433,0.5809532403945923,True
kepler,mayor_incertidumbre_mc_dropout,1053,PC,1,1,occlusion,0.6035246849060059,0.6035246849060059,40,0.1,200,20,0.3004617905339028,0.24652908067542217,131.2752655029297,5.416232124104454,0.43353644013404846,0.17980273067951202,-0.07257097959518433,0.5809532403945923,True
kepler,mayor_incertidumbre_mc_dropout,1053,PC,1,1,consensus,0.6035246849060059,0.6035246849060059,40,0.1,200,20,0.46183992168348276,0.46772983114446537,41.890749549865724,1.9609995587701787,0.43353644013404846,0.17980273067951202,-0.07257097959518433,0.5809532403945923,True
tess,positivo_correcto_alta_confianza,693,EB,1,1,saliency,0.9996888637542725,0.9996888637542725,40,0.1,20,6,0.40344434951416724,0.2981238273921201,3.3414661645889283,1.0502049391807784,0.06830623000860214,0.15290971100330353,-1.6689300537109375e-06,0.8172180652618408,True
tess,positivo_correcto_alta_confianza,693,EB,1,1,integrated_gradients,0.9996888637542725,0.9996888637542725,40,0.1,20,6,0.6863758994666593,0.9118198874296437,1.0026235742960126,0.707553843262151,0.06830623000860214,0.15290971100330353,-1.6689300537109375e-06,0.8172180652618408,True
tess,positivo_correcto_alta_confianza,693,EB,1,1,gradcam_multiscale,0.9996888637542725,0.9996888637542725,40,0.1,20,6,0.6098764358674839,0.7136960600375235,4.822898411750794,1.1008961917282818,0.06830623000860214,0.15290971100330353,-1.6689300537109375e-06,0.8172180652618408,True
tess,positivo_correcto_alta_confianza,693,EB,1,1,occlusion,0.9996888637542725,0.9996888637542725,40,0.1,20,6,0.662498546536324,0.8440900562851783,1.9759570207446813,1.0524145321210738,0.06830623000860214,0.15290971100330353,-1.6689300537109375e-06,0.8172180652618408,True
tess,positivo_correcto_alta_confianza,693,EB,1,1,consensus,0.9996888637542725,0.9996888637542725,40,0.1,20,6,0.6933447454101408,0.7998123827392122,3.067565459012985,0.9140405016176487,0.06830623000860214,0.15290971100330353,-1.6689300537109375e-06,0.8172180652618408,True
tess,negativo_correcto_alta_confianza,802,J,0,0,saliency,1.0817716855626713e-07,0.9999998918228314,40,0.1,20,6,0.7140680486805395,0.7136281716245996,4.031999483704567,0.8598882090541932,1.2218951894737984e-07,9.132357803309787e-08,0.0,3.5762786865234375e-07,True
tess,negativo_correcto_alta_confianza,802,J,0,0,integrated_gradients,1.0817716855626713e-07,0.9999998918228314,40,0.1,20,6,0.8231628245264521,0.7754052318987358,3.054156556725502,1.0533503610821235,1.2218951894737984e-07,9.132357803309787e-08,0.0,3.5762786865234375e-07,True
tess,negativo_correcto_alta_confianza,802,J,0,0,gradcam_multiscale,1.0817716855626713e-07,0.9999998918228314,40,0.1,20,6,0.7161154649041361,0.6984048896810525,7.211873924732208,1.445291174786309,1.2218951894737984e-07,9.132357803309787e-08,0.0,3.5762786865234375e-07,True
tess,negativo_correcto_alta_confianza,802,J,0,0,occlusion,1.0817716855626713e-07,0.9999998918228314,40,0.1,20,6,0.8072604353277363,0.7576283671775614,3.710264028608799,1.4215483817707333,1.2218951894737984e-07,9.132357803309787e-08,0.0,3.5762786865234375e-07,True
tess,negativo_correcto_alta_confianza,802,J,0,0,consensus,1.0817716855626713e-07,0.9999998918228314,40,0.1,20,6,0.8197351029742326,0.8128250410631965,4.912474906444549,1.2351902099756735,1.2218951894737984e-07,9.132357803309787e-08,0.0,3.5762786865234375e-07,True
tess,cerca_del_umbral,1007,J,0,0,saliency,0.7482843995094299,0.25171560049057007,40,0.1,20,6,-0.40682950795384293,-0.40750469043151977,4.220659017562866,0.8964857579391271,-0.36152178049087524,0.28605541586875916,-0.7428866028785706,0.08408474922180176,True
tess,cerca_del_umbral,1007,J,0,0,integrated_gradients,0.7482843995094299,0.25171560049057007,40,0.1,20,6,-0.7502166818569099,-0.7577861163227018,2.0453192755579948,0.8888986360556103,-0.36152178049087524,0.28605541586875916,-0.7428866028785706,0.08408474922180176,True
tess,cerca_del_umbral,1007,J,0,0,gradcam_multiscale,0.7482843995094299,0.25171560049057007,40,0.1,20,6,0.04017446043430787,0.11088180112570359,8.047135126590728,1.1463289080903067,-0.36152178049087524,0.28605541586875916,-0.7428866028785706,0.08408474922180176,True
tess,cerca_del_umbral,1007,J,0,0,occlusion,0.7482843995094299,0.25171560049057007,40,0.1,20,6,0.33937935986434636,0.3587242026266417,6.237820982933044,1.2928204049735283,-0.36152178049087524,0.28605541586875916,-0.7428866028785706,0.08408474922180176,True
tess,cerca_del_umbral,1007,J,0,0,consensus,0.7482843995094299,0.25171560049057007,40,0.1,20,6,-0.18473963125831594,-0.1382739212007505,7.48084282875061,1.1852791669748195,-0.36152178049087524,0.28605541586875916,-0.7428866028785706,0.08408474922180176,True
tess,falso_positivo,700,J,0,1,saliency,0.9807037115097046,0.9807037115097046,40,0.1,20,6,0.44673682418225286,0.42870544090056295,3.871564245223999,0.8951911935327211,0.17232713103294373,0.15866762399673462,-0.0014954209327697754,0.6754384636878967,True
tess,falso_positivo,700,J,0,1,integrated_gradients,0.9807037115097046,0.9807037115097046,40,0.1,20,6,0.6146729103124159,0.7878048780487806,0.7735994294751436,0.6197840936012211,0.17232713103294373,0.15866762399673462,-0.0014954209327697754,0.6754384636878967,True
tess,falso_positivo,700,J,0,1,gradcam_multiscale,0.9807037115097046,0.9807037115097046,40,0.1,20,6,0.5763338739712931,0.5701688555347093,5.4330274820327755,0.9653269692226589,0.17232713103294373,0.15866762399673462,-0.0014954209327697754,0.6754384636878967,True
tess,falso_positivo,700,J,0,1,occlusion,0.9807037115097046,0.9807037115097046,40,0.1,20,6,0.7578877773833492,0.7898686679174485,2.2226382247172296,1.1290274553042816,0.17232713103294373,0.15866762399673462,-0.0014954209327697754,0.6754384636878967,True
tess,falso_positivo,700,J,0,1,consensus,0.9807037115097046,0.9807037115097046,40,0.1,20,6,0.7583546151750109,0.826454033771107,3.6442648440599443,0.9736670258175946,0.17232713103294373,0.15866762399673462,-0.0014954209327697754,0.6754384636878967,True
tess,falso_negativo,495,EB,1,0,saliency,0.00029729874222539365,0.9997027012577746,40,0.1,20,6,-0.032978257015860754,0.1405253283302064,2.792977806925774,0.6584323487331655,0.00011629909568000585,0.00020012650929857045,-9.357929229736328e-05,0.0011047124862670898,True
tess,falso_negativo,495,EB,1,0,integrated_gradients,0.00029729874222539365,0.9997027012577746,40,0.1,20,6,0.17124357167606358,0.3619136960600376,0.8394054129719735,0.4106152711969301,0.00011629909568000585,0.00020012650929857045,-9.357929229736328e-05,0.0011047124862670898,True
tess,falso_negativo,495,EB,1,0,gradcam_multiscale,0.00029729874222539365,0.9997027012577746,40,0.1,20,6,-0.05800989326163749,0.09343339587242028,4.699551838636398,0.8972771218853273,0.00011629909568000585,0.00020012650929857045,-9.357929229736328e-05,0.0011047124862670898,True
tess,falso_negativo,495,EB,1,0,occlusion,0.00029729874222539365,0.9997027012577746,40,0.1,20,6,0.18133575154092363,0.008630393996247657,1.95249555259943,0.8679748936002317,0.00011629909568000585,0.00020012650929857045,-9.357929229736328e-05,0.0011047124862670898,True
tess,falso_negativo,495,EB,1,0,consensus,0.00029729874222539365,0.9997027012577746,40,0.1,20,6,0.08538604679030094,0.14352720450281425,3.2054280042648315,0.6855509044987376,0.00011629909568000585,0.00020012650929857045,-9.357929229736328e-05,0.0011047124862670898,True
tess,mayor_incertidumbre_mc_dropout,1255,J,0,0,saliency,0.4669552445411682,0.5330447554588318,40,0.1,20,6,0.10515418450418618,0.05647279549718576,3.466080179810524,0.8422262135278374,-0.27968621253967285,0.23251275718212128,-0.4531749486923218,0.392500102519989,True
tess,mayor_incertidumbre_mc_dropout,1255,J,0,0,integrated_gradients,0.4669552445411682,0.5330447554588318,40,0.1,20,6,-0.4617909180739243,-0.5348968105065667,1.3909612119197845,0.7356396274972846,-0.27968621253967285,0.23251275718212128,-0.4531749486923218,0.392500102519989,True
tess,mayor_incertidumbre_mc_dropout,1255,J,0,0,gradcam_multiscale,0.4669552445411682,0.5330447554588318,40,0.1,20,6,0.007731400334128127,0.0551594746716698,5.991994738578796,1.0112521653580904,-0.27968621253967285,0.23251275718212128,-0.4531749486923218,0.392500102519989,True
tess,mayor_incertidumbre_mc_dropout,1255,J,0,0,occlusion,0.4669552445411682,0.5330447554588318,40,0.1,20,6,0.22601347230398466,0.3238273921200751,4.81855411529541,1.6171883383359822,-0.27968621253967285,0.23251275718212128,-0.4531749486923218,0.392500102519989,True
tess,mayor_incertidumbre_mc_dropout,1255,J,0,0,consensus,0.4669552445411682,0.5330447554588318,40,0.1,20,6,0.020533881185885366,0.08105065666041278,5.534282952547073,1.1688012644912094,-0.27968621253967285,0.23251275718212128,-0.4531749486923218,0.392500102519989,True
