dataset,split,calibration,temperature,n,ece,mce,brier,nll
kepler,test,raw,1.0,1574,0.01112847047367623,0.21714455054865944,0.028334007443158955,0.1025398307864706
kepler,test,temperature_scaled,1.3465145826339722,1574,0.020601117981928,0.23840032730783733,0.02939977704060364,0.10547561979624832
tess,test,raw,1.0,1655,0.028048380618515858,0.555818756421407,0.02842071169823107,0.09432530866899842
tess,test,temperature_scaled,1.2808585166931152,1655,0.030994207027016885,0.4449762046337128,0.027845860137855782,0.09354830554602984
