dataset,outcome,n,attention_quality_mean,attention_quality_std,attention_risk_mean,attention_risk_std,total_focus_count_mean,attention_position_variance_mean,attention_entropy_mean,central_importance_ratio_mean
kepler,FN,17,0.6210614092339213,0.1194152752351866,0.4017559540563859,0.09714814192501996,5.411764705882353,0.05316288041693372,0.811343853233314,0.4825967362869124
kepler,FP,35,0.5640684280680934,0.12906147890838146,0.4028278456668384,0.09953386023732876,5.714285714285714,0.05487806474994669,0.8345207100233617,0.40761379067148557
kepler,TN,1179,0.45599846716748627,0.11968947642416351,0.3713151570615043,0.07732063776794805,5.681933842239186,0.07523250364983461,0.8569512447316632,0.25000129600442167
kepler,TP,343,0.5606703290115896,0.10842023866115437,0.3483988587546369,0.08727725005585782,6.230320699708455,0.05394325688019174,0.8259849906737076,0.41033803440151034
tess,FN,20,0.5514477167818513,0.13087203025614796,0.4467496436728638,0.1095866038097324,8.15,0.048340301646727785,0.9005035027443178,0.38172428297876426
tess,FP,28,0.5534192918495912,0.11286763956917363,0.3554736765649542,0.07729861066865575,7.75,0.04667832125342403,0.8988816680048825,0.3517946773237604
tess,TN,1348,0.40083604644065934,0.11129662685604366,0.4135069421058888,0.07228807225679919,8.181008902077151,0.06385306754238187,0.9202059116658861,0.25567311931471287
tess,TP,259,0.5212587664284937,0.12135732840233508,0.3324709934765485,0.0854525199324573,8.552123552123552,0.049810400867745075,0.9021383610021882,0.3518405241438853
