dataset,outcome,n,maxlike_confidence_mean,maxlike_entropy_mean,mc_dropout_std_mean,predictive_entropy_mean,aleatoric_uncertainty_mean,epistemic_uncertainty_mean
kepler,FN,17,0.7361142109422123,0.4868689566741095,0.025288532311713102,0.48664075727848444,0.48460543752812285,0.0020353197503615826
kepler,FP,35,0.7922234756605966,0.4380014255642891,0.017712184394310628,0.4419797160795757,0.44077431634068487,0.001205399738890784
kepler,TN,1179,0.9860504033001325,0.035285057738849136,0.0016590992805414256,0.03551101389677869,0.03536365575782868,0.00014735893372204578
kepler,TP,343,0.9057646127900993,0.2475468806335947,0.00998267861659796,0.25054470291659886,0.24977321661574325,0.0007714863008556143
tess,FN,20,0.6136794865131379,0.5422782004112378,0.023893944279188874,0.5436713140690699,0.5420669676852412,0.0016043463838286698
tess,FP,28,0.8890161471707481,0.3246525228023529,0.01272956674386348,0.3256110141852072,0.3247278040008886,0.0008832101843186788
tess,TN,1348,0.9704572145415343,0.061899695846176106,0.002894551320112405,0.06256770995959113,0.06232285543163779,0.0002448545279533335
tess,TP,259,0.9767472286021848,0.08323791416174944,0.0031322938055550666,0.08376998443724623,0.08351916684787074,0.0002508175893755033
