dataset,case,index,method,target_label,faithfulness_auc_norm,drop_at_05,drop_at_10,drop_at_20,max_drop,final_drop,negative_drop_fraction,monotonicity_fraction
kepler,cerca_del_umbral,275,consensus,0,-0.08622321151196956,-0.1708697378635406,0.2527353763580322,0.3520888090133667,0.3520888090133667,-0.472566632553935,0.5,0.4
kepler,cerca_del_umbral,275,gradcam,0,-0.3346239490434527,0.0049060583114624,-0.0888142883777618,-0.4640194848179817,0.0049060583114624,-0.4899515071883797,0.6666666666666666,0.4
kepler,cerca_del_umbral,275,gradcam_multiscale,0,-0.319373220577836,0.1661030650138855,-0.0173553526401519,-0.4894047100096941,0.1661030650138855,-0.4519468359649181,0.6666666666666666,0.6
kepler,cerca_del_umbral,275,integrated_gradients,0,-0.42688446659594775,-0.4723053351044655,-0.4467742592096329,-0.4169143214821815,0.0,-0.4827872002497315,0.8333333333333334,0.4
kepler,cerca_del_umbral,275,occlusion,0,0.04992429763078693,0.384759783744812,0.4608251452445984,0.3944934606552124,0.4608251452445984,-0.3125416338443756,0.3333333333333333,0.4
kepler,cerca_del_umbral,275,saliency,0,-0.4547243523877114,-0.4620035942643881,-0.4749381560832262,-0.4911668663844466,0.0,-0.4660278428345918,0.8333333333333334,0.4
kepler,cerca_del_umbral,275,smoothgrad,0,-0.45511152360122653,-0.4613615535199642,-0.4737402442842722,-0.4882574416697025,0.0,-0.4655523635447025,0.8333333333333334,0.2
kepler,falso_negativo,1343,consensus,0,0.5031223280064296,0.0223917133407667,0.6563099279301241,0.6413462414639071,0.6563099279301241,0.4429117395775392,0.0,0.4
kepler,falso_negativo,1343,gradcam,0,0.0017722680497172152,-0.0011441678216215,-0.0014974412806623,-0.0008281271439045,0.0111208633752539,0.0111208633752539,0.5,0.6
kepler,falso_negativo,1343,gradcam_multiscale,0,0.46154591754893765,0.125438506831415,0.1951564057962969,0.7367894306080416,0.8747256650822237,0.0497651017503812,0.0,0.8
kepler,falso_negativo,1343,integrated_gradients,0,0.02116124934400427,0.0032932908507063,0.0376642040209844,0.0201843298273161,0.0376642040209844,0.0116389823378995,0.0,0.6
kepler,falso_negativo,1343,occlusion,0,0.3683255979500245,0.0762469872133806,0.1074917718069627,0.2975669159786775,0.6753275647060946,0.4123274042503908,0.0,0.8
kepler,falso_negativo,1343,saliency,0,0.4400369219190906,0.0038374859141185,0.0675793319242075,0.8572810544865206,0.8572810544865206,0.1292103483574465,0.0,0.6
kepler,falso_negativo,1343,smoothgrad,0,0.4392626331362407,0.005828789086081,0.0993019520537927,0.8800325646298006,0.8800325646298006,0.1308286591665819,0.0,0.6
kepler,falso_positivo,677,consensus,1,0.8916207814123482,0.8723739609122276,0.8988010585308075,0.8741525113582611,0.9913744577206672,0.9913744577206672,0.0,0.8
kepler,falso_positivo,677,gradcam,1,0.2565621212124824,0.1038889288902282,0.0716727972030639,0.0911701321601867,0.9302820935845376,0.9302820935845376,0.0,0.8
kepler,falso_positivo,677,gradcam_multiscale,1,0.8287711492739618,0.8207915127277374,0.958903606981039,0.6306510865688324,0.9896905035711824,0.9896905035711824,0.0,0.8
kepler,falso_positivo,677,integrated_gradients,1,0.8691153833642602,0.8988904282450676,0.9414661414921284,0.8558401167392731,0.963561000302434,0.963561000302434,0.0,0.8
kepler,falso_positivo,677,occlusion,1,0.9177437862847,0.8847138285636902,0.9576167576014996,0.954677864909172,0.9914196967147292,0.9914196967147292,0.0,0.8
kepler,falso_positivo,677,saliency,1,0.6415999744087457,0.3399310708045959,0.441094696521759,0.7051788568496704,0.9771247077733278,0.9771247077733278,0.0,0.8
kepler,falso_positivo,677,smoothgrad,1,0.6043162103742361,0.3286952972412109,0.3876794576644897,0.6745162010192871,0.968750162050128,0.968750162050128,0.0,0.8
kepler,mayor_incertidumbre_mc_dropout,1053,consensus,1,0.5730840718388208,0.6031253577966709,0.6022735355654731,0.603449806192657,0.6034929585366626,0.6034929585366626,0.0,0.8
kepler,mayor_incertidumbre_mc_dropout,1053,gradcam,1,0.5640713629545644,0.5645944215357304,0.5874105431139469,0.5983677343465388,0.6015237297397107,0.5968483677133918,0.0,0.8
kepler,mayor_incertidumbre_mc_dropout,1053,gradcam_multiscale,1,0.5637282980504096,0.6030394965491723,0.6033645721909124,0.5996864645276219,0.6033645721909124,0.5797801129519939,0.0,0.4
kepler,mayor_incertidumbre_mc_dropout,1053,integrated_gradients,1,0.5670749900164083,0.5798771027475595,0.5981024676002562,0.5990611324086785,0.5999761959537864,0.5999761959537864,0.0,0.8
