index,dataset,view,top10_overlap_saliency_gradcam_mean,top10_overlap_saliency_gradcam_std,top10_overlap_gradcam_multiscale_occlusion_mean,top10_overlap_gradcam_multiscale_occlusion_std,top10_overlap_gradcam_multiscale_integrated_gradients_mean,top10_overlap_gradcam_multiscale_integrated_gradients_std,top10_overlap_saliency_smoothgrad_mean,top10_overlap_saliency_smoothgrad_std,top10_overlap_saliency_integrated_gradients_mean,top10_overlap_saliency_integrated_gradients_std,top10_overlap_smoothgrad_integrated_gradients_mean,top10_overlap_smoothgrad_integrated_gradients_std,top10_overlap_integrated_gradients_occlusion_mean,top10_overlap_integrated_gradients_occlusion_std,top10_overlap_consensus_integrated_gradients_mean,top10_overlap_consensus_integrated_gradients_std,top10_overlap_consensus_occlusion_mean,top10_overlap_consensus_occlusion_std
0,kepler,global,0.165,0.20054924582256597,0.16083333333333336,0.17074591259139021,0.3408333333333333,0.040176693077786596,0.8099999999999999,0.2338589318371227,0.4366666666666667,0.11321071798494464,0.3825,0.03205464084964921,0.13749999999999998,0.07640353394968062,0.35083333333333333,0.12366958666813223,0.5866666666666667,0.31669648982372167
1,kepler,local,0.3333333333333333,0.3311595788538611,0.5750000000000001,0.36708309685955304,0.6666666666666666,0.12516655570345722,0.8916666666666666,0.10206207261596575,0.7166666666666667,0.04082482904638629,0.7083333333333334,0.0664580067912563,0.4666666666666666,0.31411250638372656,0.775,0.1508310312899835,0.6166666666666667,0.32041639575194447
2,tess,global,0.025000000000000005,0.041833001326703784,0.525,0.3724916106437835,0.5333333333333333,0.2562550812504343,0.8333333333333334,0.14719601443879746,0.5,0.10954451150103324,0.5083333333333333,0.14634434279010125,0.39999999999999997,0.281069386451104,0.6,0.2664582518894846,0.6583333333333333,0.21544527534078503
3,tess,local,0.25,0.22973414586817037,0.5277777777777778,0.37143365889881735,0.5277777777777778,0.1638653467083625,0.9444444444444445,0.08606629658238701,0.611111111111111,0.2018433569398328,0.611111111111111,0.2018433569398328,0.5277777777777778,0.41387956738198173,0.6944444444444445,0.2870669040614181,0.8055555555555555,0.26701366312662034
