dataset,y_true,pred_label,outcome,n,total_focus_count_mean,total_focus_count_std,total_focus_count_var,global_focus_count_mean,local_focus_count_mean,attention_position_variance_mean,attention_position_variance_std,attention_entropy_mean,central_importance_ratio_mean,mc_std_mean,row_total,row_normalized_rate,global_rate
kepler,0,0,TN,1179,5.681933842239186,1.7884094836441098,3.198408481188191,2.5674300254452924,3.114503816793893,0.0752325036498346,0.0203800038969711,0.8569512447316632,0.2500012960044216,0.0016590992805414,1214.0,0.971169686985173,0.7490470139771284
kepler,0,1,FP,35,5.714285714285714,2.0803199495358817,4.327731092436973,2.628571428571429,3.085714285714286,0.0548780647499466,0.0165966129463969,0.8345207100233617,0.4076137906714855,0.0177121843943105,1214.0,0.028830313014827,0.0222363405336721
kepler,1,0,FN,17,5.411764705882353,1.583462327046801,2.50735294117647,2.411764705882353,3.0,0.0531628804169337,0.0222175505273855,0.811343853233314,0.4825967362869124,0.025288532311713,360.0,0.0472222222222222,0.0108005082592121
kepler,1,1,TP,343,6.230320699708455,1.83277875561302,3.3590779670264097,2.486880466472303,3.743440233236152,0.0539432568801917,0.0162322319167614,0.8259849906737076,0.4103380344015103,0.0099826786165979,360.0,0.9527777777777776,0.2179161372299873
tess,0,0,TN,1348,8.181008902077151,2.062827905210011,4.2552589665131215,3.706231454005935,4.474777448071217,0.0638530675423818,0.0121657720078187,0.920205911665886,0.2556731193147128,0.0028881644985049,1376.0,0.9796511627906976,0.8145015105740181
tess,0,1,FP,28,7.75,1.7132382161232529,2.935185185185185,3.7857142857142856,3.9642857142857135,0.046678321253424,0.0091225251621345,0.8988816680048825,0.3517946773237604,0.0127472249524933,1376.0,0.0203488372093023,0.0169184290030211
tess,1,0,FN,20,8.15,2.007223796297028,4.028947368421052,3.95,4.2,0.0483403016467277,0.0111573951866696,0.9005035027443178,0.3817242829787642,0.0237982300932344,279.0,0.07168458781362,0.0120845921450151
tess,1,1,TP,259,8.552123552123552,1.8384843058387084,3.3800245428152373,3.864864864864865,4.687258687258687,0.049810400867745,0.0093481872910984,0.9021383610021882,0.3518405241438853,0.003137722027946,279.0,0.92831541218638,0.1564954682779456
