dataset,case,index,counterfactual,description,y_true,target_label,threshold,base_probability,counterfactual_probability,probability_delta,base_target_confidence,counterfactual_target_confidence,target_confidence_delta,pred_label_after,prediction_changed
kepler,positivo_correcto_alta_confianza,1132,erase_global_transit,Aplana ventana central global,1,1,0.5000000000000001,0.9969246983528137,0.41924920678138733,-0.5776754915714264,0.9969246983528137,0.41924920678138733,-0.5776754915714264,0,1
kepler,positivo_correcto_alta_confianza,1132,erase_local_transit,Aplana ventana central local,1,1,0.5000000000000001,0.9969246983528137,0.9815847873687744,-0.015339910984039307,0.9969246983528137,0.9815847873687744,-0.015339910984039307,1,0
kepler,positivo_correcto_alta_confianza,1132,erase_both_transits,Aplana ventanas centrales global y local,1,1,0.5000000000000001,0.9969246983528137,0.03373934328556061,-0.9631853550672531,0.9969246983528137,0.03373934328556061,-0.9631853550672531,0,1
kepler,positivo_correcto_alta_confianza,1132,deepen_local_transit,Profundiza valores negativos locales,1,1,0.5000000000000001,0.9969246983528137,0.9945801496505737,-0.0023445487022399902,0.9969246983528137,0.9945801496505737,-0.0023445487022399902,1,0
kepler,positivo_correcto_alta_confianza,1132,shallow_local_transit,Reduce valores negativos locales,1,1,0.5000000000000001,0.9969246983528137,0.9945862293243408,-0.0023384690284729004,0.9969246983528137,0.9945862293243408,-0.0023384690284729004,1,0
kepler,positivo_correcto_alta_confianza,1132,deepen_both_transits,Profundiza valores negativos globales y locales,1,1,0.5000000000000001,0.9969246983528137,0.9907938838005066,-0.006130814552307129,0.9969246983528137,0.9907938838005066,-0.006130814552307129,1,0
kepler,positivo_correcto_alta_confianza,1132,shallow_both_transits,Reduce valores negativos globales y locales,1,1,0.5000000000000001,0.9969246983528137,0.9921850562095642,-0.004739642143249512,0.9969246983528137,0.9921850562095642,-0.004739642143249512,1,0
kepler,negativo_correcto_alta_confianza,1365,erase_global_transit,Aplana ventana central global,0,0,0.5000000000000001,2.1046115298960658e-19,1.010435045563335e-20,-2.0035680253397323e-19,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,erase_local_transit,Aplana ventana central local,0,0,0.5000000000000001,2.1046115298960658e-19,2.0034684599358448e-18,1.7930073069462382e-18,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,erase_both_transits,Aplana ventanas centrales global y local,0,0,0.5000000000000001,2.1046115298960658e-19,1.0430472874480917e-19,-1.0615642424479741e-19,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,deepen_local_transit,Profundiza valores negativos locales,0,0,0.5000000000000001,2.1046115298960658e-19,2.1324683879874376e-19,2.7856858091371744e-21,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,shallow_local_transit,Reduce valores negativos locales,0,0,0.5000000000000001,2.1046115298960658e-19,1.4300076125027119e-18,1.2195464595131053e-18,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,deepen_both_transits,Profundiza valores negativos globales y locales,0,0,0.5000000000000001,2.1046115298960658e-19,9.239407109412716e-20,-1.1806708189547942e-19,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,shallow_both_transits,Reduce valores negativos globales y locales,0,0,0.5000000000000001,2.1046115298960658e-19,5.500482239778554e-19,3.3958707098824885e-19,1.0,1.0,0.0,0,0
kepler,cerca_del_umbral,275,erase_global_transit,Aplana ventana central global,1,0,0.5000000000000001,0.4931982159614563,0.17990469932556152,-0.3132935166358948,0.5068017840385437,0.8200953006744385,0.3132935166358948,0,0
kepler,cerca_del_umbral,275,erase_local_transit,Aplana ventana central local,1,0,0.5000000000000001,0.4931982159614563,0.34312933683395386,-0.15006887912750244,0.5068017840385437,0.6568706631660461,0.15006887912750244,0,0
kepler,cerca_del_umbral,275,erase_both_transits,Aplana ventanas centrales global y local,1,0,0.5000000000000001,0.4931982159614563,0.09816893190145493,-0.3950292840600014,0.5068017840385437,0.9018310680985451,0.3950292840600014,0,0
kepler,cerca_del_umbral,275,deepen_local_transit,Profundiza valores negativos locales,1,0,0.5000000000000001,0.4931982159614563,0.12083750218153,-0.3723607137799263,0.5068017840385437,0.87916249781847,0.3723607137799263,0,0
kepler,cerca_del_umbral,275,shallow_local_transit,Reduce valores negativos locales,1,0,0.5000000000000001,0.4931982159614563,0.7868653535842896,0.29366713762283325,0.5068017840385437,0.21313464641571045,-0.29366713762283325,1,1
kepler,cerca_del_umbral,275,deepen_both_transits,Profundiza valores negativos globales y locales,1,0,0.5000000000000001,0.4931982159614563,0.12241193652153015,-0.37078627943992615,0.5068017840385437,0.8775880634784698,0.37078627943992615,0,0
kepler,cerca_del_umbral,275,shallow_both_transits,Reduce valores negativos globales y locales,1,0,0.5000000000000001,0.4931982159614563,0.7897176146507263,0.29651939868927,0.5068017840385437,0.21028238534927368,-0.29651939868927,1,1
kepler,falso_positivo,677,erase_global_transit,Aplana ventana central global,0,1,0.5000000000000001,0.9931057095527649,0.31462734937667847,-0.6784783601760864,0.9931057095527649,0.31462734937667847,-0.6784783601760864,0,1
