dataset,y_true,pred_label,outcome,n,total_focus_count_mean,total_focus_count_std,total_focus_count_var,global_focus_count_mean,local_focus_count_mean,attention_position_variance_mean,attention_position_variance_std,attention_entropy_mean,central_importance_ratio_mean,mc_std_mean,row_total,row_normalized_rate,global_rate
kepler,0,0,TN,1179,5.681933842239186,1.7884094836441098,3.198408481188191,2.5674300254452924,3.114503816793893,0.07523250364983461,0.02038000389697116,0.8569512447316632,0.25000129600442167,0.001659099280541412,1214.0,0.971169686985173,0.7490470139771284
kepler,0,1,FP,35,5.714285714285714,2.0803199495358817,4.327731092436973,2.6285714285714286,3.085714285714286,0.05487806474994669,0.016596612946396923,0.8345207100233617,0.40761379067148557,0.017712184394310566,1214.0,0.028830313014827018,0.022236340533672173
kepler,1,0,FN,17,5.411764705882353,1.583462327046801,2.50735294117647,2.411764705882353,3.0,0.05316288041693372,0.022217550527385534,0.811343853233314,0.4825967362869124,0.025288532311713057,360.0,0.04722222222222222,0.010800508259212199
kepler,1,1,TP,343,6.230320699708455,1.83277875561302,3.3590779670264097,2.486880466472303,3.7434402332361514,0.05394325688019174,0.016232231916761444,0.8259849906737076,0.41033803440151034,0.009982678616597913,360.0,0.9527777777777777,0.2179161372299873
tess,0,0,TN,1348,8.181008902077151,2.062827905210011,4.2552589665131215,3.706231454005935,4.474777448071217,0.06385306754238187,0.012165772007818789,0.9202059116658861,0.25567311931471287,0.0028881644985049985,1376.0,0.9796511627906976,0.8145015105740181
tess,0,1,FP,28,7.75,1.7132382161232527,2.935185185185185,3.7857142857142856,3.9642857142857144,0.04667832125342403,0.009122525162134581,0.8988816680048825,0.3517946773237604,0.012747224952493336,1376.0,0.020348837209302327,0.016918429003021148
tess,1,0,FN,20,8.15,2.007223796297028,4.028947368421052,3.95,4.2,0.048340301646727785,0.011157395186669623,0.9005035027443178,0.38172428297876426,0.023798230093234403,279.0,0.07168458781362007,0.012084592145015106
tess,1,1,TP,259,8.552123552123552,1.8384843058387084,3.3800245428152373,3.864864864864865,4.687258687258687,0.049810400867745075,0.009348187291098445,0.9021383610021882,0.3518405241438853,0.0031377220279460243,279.0,0.9283154121863799,0.1564954682779456
